Changed?,String,String_uk,Location,Notes,
,Enemy equipment is upgraded,Enemy equipment is upgraded,Equipment Selection,shown in bonus round above certain equipment choices,
,Next,Next,Episode Completion,Button,
,Continue,Continue,Episode Completion,Button,
,View,View,Episode Completion,Button,
,YOU'VE UNLOCKED,YOU'VE UNLOCKED,Episode Completion,,
,THE {newcharacter}!,THE {newcharacter}!,Episode Completion,,
,CHALLENGE COMPLETE!,CHALLENGE COMPLETE!,Episode Completion,,
,CHALLENGES COMPLETE!,CHALLENGES COMPLETE!,Episode Completion,,
,...and more!,...and more!,Episode Completion,,
,Compression Errors,Compression Errors,Episode Selection,New episode for launch,
,Ah[;] time for more dice! Unfortunately[;] there's a slight|problem: for complicated reasons that we won't go into|here[;] for this episode[;] you can't have two dice showing|the same number...,Ah[;] time for more dice! Unfortunately[;] there's a slight|problem: for complicated reasons that we won't go into|here[;] for this episode[;] you can't have two dice showing|the same number...,Episode Selection,Episode rules for Compression Errors,
,(modding cheats are active),(modding cheats are active),Everywhere,Displayed on screen at all times if the player is using modding cheats,
,Blocked!,Blocked!,Combat,Displayed if the player blocks a status effect,
,Immune!,Immune!,Combat,Displayed if the player or enemy is immune to a status effect,
,SPELL SLOTS: THREE SPELLS PREPARED,SPELL SLOTS: THREE SPELLS PREPARED,Witch Spellbook,,
,SPELL SLOTS: FOUR SPELLS PREPARED,SPELL SLOTS: FOUR SPELLS PREPARED,Witch Spellbook,,
,Play a game as Warrior,Play a game as Warrior,Locked content,Shown if you are on the character select screen and have not played as warrior,
,You win! The enemy joins your party!,You win! The enemy joins your party!,Final Episode,Recruit enemy screen in final episode,
,Welcome!,Welcome!,Final Episode,Recruit enemy screen in final episode,
,Steal All,Steal All,Finders Keepers,,
,New!,New!,Character Selection,Shown above newly available characters on character select screen,
,{partyleady}'s rebellion was defeated...,{partyleady}'s rebellion was defeated...,Final Episode,,
,Party was wiped out...,Party was wiped out...,Final Episode,,
,{playername} was knocked out!,{playername} was knocked out!,Combat,,
,Party,Party,Final Episode,Shown where equipment button would go on map screen,
,Collect all,Collect all,Finders Keepers,,
,Ignore them,Ignore them,Finders Keepers,,
,You have found a booster pack!,You have found a booster pack!,Jester Combat,,
,You have found new items!,You have found new items!,Jester Combat,,
,Select a spell\nto replace,Select a spell\nto replace,Witch Spellbook,,
,You can either collect all of them[;] or ignore them.,You can either collect all of them[;] or ignore them.,Witch Spellbook,,
,Choose a rule change:,Choose a rule change:,Remix screen,,
,Current rule changes,Current rule changes,Remix screen,,
,Choose your starting gear!,Choose your starting gear!,Remix screen,,
,Maximum health increased by [heart]{healthincrease}[]!,Maximum health increased by [heart]{healthincrease}[]!,Level up,Shown on level up to indicate HP change,
,Maximum health reduced by [heart]{healthincrease}[]...,Maximum health reduced by [heart]{healthincrease}[]...,Level up,Shown on level up to indicate HP change,
,But your maximum health doesn't increase...\n,But your maximum health doesn't increase...\n,Level up,Shown on level up to indicate HP change,
,You have a game already in progress. Continue?,You have a game already in progress. Continue?,Continue Screen,,
,Or start a new game:,Or start a new game:,Continue Screen,,
,New Game,New Game,Continue Screen,Button,
,Locked Contestant,Locked Contestant,Character Selection,,
,MUST EQUAL {totalvalue},MUST EQUAL {totalvalue},Combat,Shown on dice slots that require a total value,
,Unshock,Unshock,Combat,Shown in parallel universe when equipment is shocked – button,
,Lose [heart]3 hp,Lose [heart]3 hp,Combat,Shown in parallel universe when equipment is shocked – button description,
,Cancel,Cancel,Combat,,
,is weak to shock,is weak to shock,Combat,,
,Final Showdown,Final Showdown,Final Episode,Shown in a big sign in the final episode,
,Find a way to rescue everyone and escape the dungeons.,Find a way to rescue everyone and escape the dungeons.,Final Episode,,
,If {selectedcharacter} is knocked out[;] it's game over.,If {selectedcharacter} is knocked out[;] it's game over.,Final Episode,,
,Select a teammate to restore [heart]10 health,Select a teammate to restore [heart]10 health,Final Episode,In apples on the finale episode,
,Who will restore [heart]10 health?,Who will restore [heart]10 health?,Final Episode,In apples on the finale episode,
,At max health,At max health,Final Episode,In apples on the finale episode,
,Translator Mode,Translator Mode,Title Screen,Translator mode button – translate it if you like,
,The Elimination Round,The Elimination Round,Episode Selection,Updated name for classic hard mode,
,Keep your cards close to your chest... oh yeah[;] by the|way[;] you have cards now.,Keep your cards close to your chest... oh yeah[;] by the|way[;] you have cards now.,Episode Selection,Updated description for Jester Journey,
,A straightforward adventure for a straightforward warrior.|But you're a jester so[;] uh...,A straightforward adventure for a straightforward warrior.|But you're a jester so[;] uh...,Episode Selection,Updated description for Jester Warrior,
,Hey[;] wouldn't it be cool if you stole ALL of an enemy's|equipment[;] every time you fought? Let's find out!,Hey[;] wouldn't it be cool if you stole ALL of an enemy's|equipment[;] every time you fought? Let's find out!,Episode Selection,Updated description for Losers Weepers,
,Woah[;] now you can magic up dice with any value you want!|Sure[;] there's a chance things will go horribly wrong when|you do. But let's focus on the positive: any dice you want!,Woah[;] now you can magic up dice with any value you want!|Sure[;] there's a chance things will go horribly wrong when|you do. But let's focus on the positive: any dice you want!,Episode Selection,Updated description for you choose you lose,
,A special treat: a random spell each turn! Yes[;] completely|random. Is that going to be an issue?,A special treat: a random spell each turn! Yes[;] completely|random. Is that going to be an issue?,Episode Selection,Updated description for expect the unexpected,
,It's like magic - your first dice is always a 6! Your|next[;] 5. Then 4. Then 3. Look[;] you're a witch[;] I'm sure|you can handle it.,It's like magic - your first dice is always a 6! Your|next[;] 5. Then 4. Then 3. Look[;] you're a witch[;] I'm sure|you can handle it.,Episode Selection,Updated description for countdown,
,{playername} versus...,{playername} versus...,Boss encounter,Shown before encountering a boss,
,Title,Title,Character Selection,Button,
,Challenges,Challenges,Character Selection,Button,
,Complete!,Complete!,Challenges,,
,Status effects work differently.,Status effects work differently.,Episode Selection,Final rule description for Parallel Universe,
,All of the equipment has been changed.,All of the equipment has been changed.,Episode Selection,Final rule description for Parallel Universe,
,You can keep enemy equipment after each fight.,You can keep enemy equipment after each fight.,Episode Selection,Final rule description for Finders Keepers,
,On your first turn[;] all dice rolls are 1.,On your first turn[;] all dice rolls are 1.,Episode Selection,Final rule description for Uptick,
,Second turn[;] all dice rolls are 2.,Second turn[;] all dice rolls are 2.,Episode Selection,Final rule description for Uptick,
,... and so on.,... and so on.,Episode Selection,Final rule description for Uptick,
,Duplicate dice vanish immediately.,Duplicate dice vanish immediately.,Episode Selection,Final rule description for Compression Errors,
,50% chance that equipment will randomly disappear each time.,50% chance that equipment will randomly disappear each time.,Episode Selection,Final rule description for You Choose You lose,
,silenced,silenced,Combat,Shown on healthbar when Silence is applied,
,YOU'VE UNLOCKED|THE {newcharacter},YOU'VE UNLOCKED|THE {newcharacter},Episode Completion,,
,Credits,Credits,Last minute strings,,
,Memorise,Memorise,Last minute strings,,
,Replace the spell in slot <slotdoubles>|with the unexpected spell,Replace the spell in slot <slotdoubles>|with the unexpected spell,Last minute strings,,
,Picnic Basket,Picnic Basket,Last minute strings,,
,Marmalade,Marmalade,Last minute strings,,
,Get a [dice]6 next turn,Get a [dice]6 next turn,Last minute strings,,
,Bear Trap,Bear Trap,Last minute strings,,
,Bearpick,Bearpick,Last minute strings,,
,Shred a big dice into|other[;] smaller dice,Shred a big dice into|other[;] smaller dice,Last minute strings,,
,Honey,Honey,Last minute strings,,
,Bear Swipe,Bear Swipe,Last minute strings,,
,Do [sword]<d6> damage[;]|return the dice,Do [sword]<d6> damage[;]|return the dice,Last minute strings,,
,Bear Hug,Bear Hug,Last minute strings,,
,Do [sword]<double> damage[;]|lose a dice,Do [sword]<double> damage[;]|lose a dice,Last minute strings,,
,Frogsword,Frogsword,Last minute strings,,
,Judgement,Judgement,Last minute strings,,
,Do [sword]<d6> damage[;]|on 5[;] keep the dice,Do [sword]<d6> damage[;]|on 5[;] keep the dice,Last minute strings,,
,CHALLENGE COMPLETE!,CHALLENGE COMPLETE!,Last minute strings,,
,CHALLENGES COMPLETE!,CHALLENGES COMPLETE!,Last minute strings,,
,Inflict [poison]3 poison|and [blind]3 blind,Inflict [poison]3 poison|and [blind]3 blind,Last minute strings,,
,Inflict [poison]2 poison|and [blind]2 blind,Inflict [poison]2 poison|and [blind]2 blind,Last minute strings,,
,Inflict [poison]4 poison|and [blind]4 blind,Inflict [poison]4 poison|and [blind]4 blind,Last minute strings,,
,Language,Language,Last minute strings,,
,(requires restart),(requires restart),Last minute strings,,
,Voices volume:,Voices volume:,Last minute strings,,
,Challenge,Challenge,Extra,,
,Unlock episodes.,Unlock episodes.,Extra,,
,Collect,Collect,Extra,,
,Challenge Complete!,Challenge Complete!,Extra,,
,(Esc),(Esc),Title Screen,,
,Settings,Settings,Title Screen,,
,Select a spell|to replace,Select a spell|to replace,Found Spell,Two lines,
,Take [poison]<countdown> damage at the|end of this turn,Take [poison]<countdown> damage at the|end of this turn,Combat,,
,Skip Cutscene,Skip Cutscene,Cutscenes,,
,Skip Tutorial,Skip Tutorial,Tutorial,,
,Skip,Skip,Cutscenes,,
,Last fighter,Last fighter,Final Episode,,
,{totalpartysize} fighters remaining,{totalpartysize} fighters remaining,Final Episode,Eg 4 fighters remaining,
,Party {currentpartymember}/{totalpartysize},Party {currentpartymember}/{totalpartysize},Final Episode,Shown in the finale episode in the view party screen – the third person on the list of six would display as: Party 3/6,
,Heal,Heal,Final Episode,,
,Episode complete!,Episode complete!,Episode Completion,,
,{character} episode {number}: {episodename},{character} episode {number}: {episodename},Episode Completion,eg Warrior episode 4: Elimination Round,
,A different rule change[;] chosen randomly.,A different rule change[;] chosen randomly.,Remix screen,Rule changes,
,Maximum health no longer increases|when you level up.,Maximum health no longer increases|when you level up.,Remix screen,Rule changes,
,Reduce scrap choices to two. The|second choice is hidden.,Reduce scrap choices to two. The|second choice is hidden.,Remix screen,Rule changes,
,One spell slot contains a completely|random spell each turn.,One spell slot contains a completely|random spell each turn.,Remix screen,Rule changes,
,Created by,Created by,Credits,,
,With help from,With help from,Credits,,
,Voiceovers,Voiceovers,Credits,,
,Special Thanks for Design Feedback,Special Thanks for Design Feedback,Credits,,
,Localisation,Localisation,Credits,,
,Localisation (with EDS Wordland),Localisation (with EDS Wordland),Credits,,
,GreySilence and cheep for the alpha title screens,GreySilence and cheep for the alpha title screens,Credits,,
,Portland Indie Game Squad,Portland Indie Game Squad,Credits,,
,Leaf and Amos at itch.io,Leaf and Amos at itch.io,Credits,,
,Our friends and family,Our friends and family,Credits,,
,super enemies? (where available),super enemies? (where available),Editor,,
,Level 6,Level 6,Editor,,
,Mod path,Mod path,Mods Screen,,
,Confirm,Confirm,Mods Screen,Button,
,Complete all six bonus rounds.,Complete all six bonus rounds.,Challenges,,
,Defeat a boss with four or|more battle axes equipped.,Defeat a boss with four or|more battle axes equipped.,Challenges,,
,Use a Finale card.,Use a Finale card.,Challenges,Use any of the cards that appear last when you play as Jester – eg Encore – Punchline – etc,
,Inflict [fire]5 or more Burn|in a single turn.,Inflict [fire]5 or more Burn|in a single turn.,Challenges,,
,Inflict [ice]5 or more Freeze|in a single turn.,Inflict [ice]5 or more Freeze|in a single turn.,Challenges,,
,Inflict [shock]5 or more Shock|in a single turn.,Inflict [shock]5 or more Shock|in a single turn.,Challenges,,
,Stack [poison]10 or more total Poison|on an enemy at once.,Stack [poison]10 or more total Poison|on an enemy at once.,Challenges,,
,Stack [poison]30 or more total Poison|on an enemy at once.,Stack [poison]30 or more total Poison|on an enemy at once.,Challenges,,
,Use the same gadget three|times in one turn.,Use the same gadget three|times in one turn.,Challenges,,
,Hatch an egg.,Hatch an egg.,Challenges,Either Precious Egg or Rotten Egg,
,Have max health of [heart]64 or higher.,Have max health of [heart]64 or higher.,Challenges,,
,Use the Dragon's Tooth.,Use the Dragon's Tooth.,Challenges,Use the piece of equipment named Dragon's Tooth,
,Become a furry dice.,Become a furry dice.,Challenges,This is the bear transform challenge – the description is trying to avoid spoiling it,
,Complete all 36 regular episodes.,Complete all 36 regular episodes.,Challenges,By regular this means the normal episodes excluding the finale or any future DLC,
,Defeat Lady Luck.,Defeat Lady Luck.,Challenges,,
,Do 12 or more damage in one|turn by throwing dice.,Do 12 or more damage in one|turn by throwing dice.,Challenges,,
,Lock all enemy dice.,Lock all enemy dice.,Challenges,,
,Swap all [fire]Fire equipment for [ice]Ice|equipment[;] and vice versa.,Swap all [fire]Fire equipment for [ice]Ice|equipment[;] and vice versa.,Remix Rule,,
,Enemies countdowns reduce at|double the normal rate.,Enemies countdowns reduce at|double the normal rate.,Remix Rule,,
,On your first turn[;] all of your|equipment is [shock]Shocked.,On your first turn[;] all of your|equipment is [shock]Shocked.,Remix Rule,,
,You can't make more than six|moves per turn.,You can't make more than six|moves per turn.,Remix Rule,,
,Keep unused dice until your next turn.|Lose [heart]1 hp for each dice you keep.,Keep unused dice until your next turn.|Lose [heart]1 hp for each dice you keep.,Remix Rule,,
,[100%]Enemies get 10% extra health.,[100%]Enemies get 10% extra health.,Remix screen,Remixed rule,
,Fight,Fight,Gamepad,Prompt when starting combat when using gamepad,
,Open,Open,Gamepad,Prompt when opening chest when using gamepad,
,Heal,Heal,Gamepad,Prompt when collecting apple when using gamepad,
,Go,Go,Gamepad,Prompt when descending stairs when using gamepad,
,Upgrade,Upgrade,Gamepad,Prompt when visiting upgrade station when using gamepad,
,Copy,Copy,Gamepad,Prompt when visiting copyshop when using gamepad,
,Buy,Buy,Gamepad,Prompt when visiting shop when using gamepad,
,View,View,Gamepad,Prompt when starting combat when using gamepad,
,Yoinked!,Yoinked!,Bounty Hunter Ability,Appears when Bounty Hunter uses Yoink to steal a card,
,I've borrowed this.,I've borrowed this.,Bounty Hunter Ability,Appears when Bounty Hunter uses Yoink to steal a card,
,Signed[;] {enemyname},Signed[;] {enemyname},Bounty Hunter Ability,Appears when Bounty Hunter uses Yoink to steal a card,
,Activate,Activate,Gamepad,Prompt to confirm using limit break,
,[yellow][medium](ready in {limitbreakhp} hp)[],[yellow][medium](ready in {limitbreakhp} hp)[],Limit Break,,
,Options,Options,Options Menu,,
,Display,Display,Options Menu,,
,Sound,Sound,Options Menu,,
,Disable screen effects,Disable screen effects,Options Menu,,
,Switch Port,Switch Port,Credits,,
,Modern Standard Arabic,Modern Standard Arabic,Language,as it would appear in a language selection menu,
,Unavailable (Fury?),Unavailable (Fury?),Combat,Displayed on unavailable cards after using parallel universe Fury,
,Unavailable (Burn?),Unavailable (Burn?),Combat,Displayed on unavailable cards after using parallel universe Burn,
,Broken_Mirror,Broken_Mirror,Jinxes,Quick hack to fix translation on this Jinx name,
,Arf_Arf_Arf,Arf_Arf_Arf,Jinxes,Quick hack to fix translation on this Jinx name,
,Halloween Special,Halloween Special,Title Screen,Displayed on the Title screen during Halloween week - the Name of the DLC,
,Standard Rules...?,Standard Rules...?,Quests,Rule description,
,Play these dice,Play these dice,Combat,Witch's spellbook tutorial text with gamepad - full string is: Play these dice on the Spellbook to create equipment,
,Unavailable (Odd Turn),Unavailable (Odd Turn),Combat,Displayed on polar star if unavailable,
,Unavailable (Even Turn),Unavailable (Even Turn),Combat,Displayed on polar star+ if unavailable,
,In 1 turn[;] {jinxaction}.,In 1 turn[;] {jinxaction}.,Jinxes,Format of the tool tip for jinxes. This one is a little weird: please ask if you're unsure or have any questions,
,In {numturns} turns[;] {jinxaction}.,In {numturns} turns[;] {jinxaction}.,Jinxes,Format of the tool tip for jinxes. This one is a little weird: please ask if you're unsure or have any questions,
,Take [sword]%VAR% damage,Take [sword]%VAR% damage,Jinxes,Displayed on the jinx card itself - treat %VAR% as a symbol like <d6> [shock] etc,
,take [sword]%VAR% damage,take [sword]%VAR% damage,Jinxes,Displayed on the jinx tool tip as {jinxaction} in the phrase (In {numturns} turns[;] {jinxaction}.),
,Take [fire]%VAR% damage,Take [fire]%VAR% damage,Jinxes,Displayed on the jinx card itself - treat %VAR% as a symbol like <d6> [shock] etc,
,take [fire]%VAR% damage,take [fire]%VAR% damage,Jinxes,Displayed on the jinx tool tip as {jinxaction} in the phrase (In {numturns} turns[;] {jinxaction}.),
,Take [ice]%VAR% damage,Take [ice]%VAR% damage,Jinxes,Displayed on the jinx card itself - treat %VAR% as a symbol like <d6> [shock] etc,
,take [ice]%VAR% damage,take [ice]%VAR% damage,Jinxes,Displayed on the jinx tool tip as {jinxaction} in the phrase (In {numturns} turns[;] {jinxaction}.),
,Heal [heart]%VAR% health,Heal [heart]%VAR% health,Jinxes,Displayed on the jinx card itself - treat %VAR% as a symbol like <d6> [shock] etc,
,heal [heart]%VAR% health,heal [heart]%VAR% health,Jinxes,Displayed on the jinx tool tip as {jinxaction} in the phrase (In {numturns} turns[;] {jinxaction}.),
,Gain [fury]Fury,Gain [fury]Fury,Jinxes,Displayed on the jinx card itself - treat %VAR% as a symbol like <d6> [shock] etc,
,gain [fury]Fury,gain [fury]Fury,Jinxes,Displayed on the jinx tool tip as {jinxaction} in the phrase (In {numturns} turns[;] {jinxaction}.),
,Gain [shield]%VAR% shield,Gain [shield]%VAR% shield,Jinxes,Displayed on the jinx card itself - treat %VAR% as a symbol like <d6> [shock] etc,
,gain [shield]%VAR% shield,gain [shield]%VAR% shield,Jinxes,Displayed on the jinx tool tip as {jinxaction} in the phrase (In {numturns} turns[;] {jinxaction}.),
,Gain +1 dice[;] curse yourself,Gain +1 dice[;] curse yourself,Jinxes,Displayed on the jinx card itself - treat %VAR% as a symbol like <d6> [shock] etc,
,gain +1 dice and curse yourself,gain +1 dice and curse yourself,Jinxes,Displayed on the jinx tool tip as {jinxaction} in the phrase (In {numturns} turns[;] {jinxaction}.),
,Keep_Unused_Dice,Keep_Unused_Dice,Status Effects,A status effect granted by a remix rule that lets you keep unused dice between turns,
,Any enemy can potentially be the|boss of the dungeon.,Any enemy can potentially be the|boss of the dungeon.,Remix screen,Remixed rule,
,Instead of causing damage[;] burning|dice disables equipment.,Instead of causing damage[;] burning|dice disables equipment.,Remix screen,Remixed rule,
,Change [ice]Freeze to instead reduce|the value of all dice by 1.,Change [ice]Freeze to instead reduce|the value of all dice by 1.,Remix screen,Remixed rule,
,When [poison]Poison deals damage[;] it also|inflicts [weaken]1 weaken.,When [poison]Poison deals damage[;] it also|inflicts [weaken]1 weaken.,Remix screen,Remixed rule,
,Take [heart]2 damage at the start of each|turn[;] unless your limit break is full.,Take [heart]2 damage at the start of each|turn[;] unless your limit break is full.,Remix screen,Remixed rule,
,At the start of your turn[;] change the|dice requirements for a random item.,At the start of your turn[;] change the|dice requirements for a random item.,Remix screen,Remixed rule,
,Switch to [quote]You Choose[;] You Lose[quote]|rules.,Switch to [quote]You Choose[;] You Lose[quote]|rules.,Remix screen,Remixed rule,
,revives to full health when defeated (once),revives to full health when defeated (once),Combat,Innate text,
,Slots changed!,Slots changed!,Equipment,Displayed if the magician remix rule changes the dice slots on a piece of equipment,
,Modding Feedback,Modding Feedback,Final Credits,Credit headers as they will appear in the ending,
,Code Contributions,Code Contributions,Final Credits,Credit headers as they will appear in the ending,
,Arabic Editor,Arabic Editor,Final Credits,Credit headers as they will appear in the ending,
,Attempt to flee?,Attempt to flee?,Combat,Shown in the top left of combat if you attempt to flee in recent versions,
,Disable shaders,Disable shaders,Options Menu,,
,create equipment (korean),create equipment (korean),Combat,Korean only workaround,
,Catalan,Catalan,Language,as it would appear in a language selection menu,
,Toggle gadget preview,Toggle gadget preview,Language,as it would appear in a language selection menu,
,MOVES LEFT,MOVES LEFT,Combat,Shown with a number below it when playing with the Keymaster Remix rule - i.e. how many moves you have left on that turn,
,Japanese Publishing Support,Japanese Publishing Support,Credits,,
,Japanese Localization,Japanese Localization,Credits,,
,99_Curses,99_Curses,Jinxes,Name of a special Lady Luck Jinx without an associated equipment name - shown as header,
,Gain [curse]99 curses,Gain [curse]99 curses,Jinxes,Displayed on the jinx card itself (as a complete sentence),
,gain [curse]99 curses,gain [curse]99 curses,Jinxes,Displayed on the jinx tool tip as {jinxaction} in the phrase (In {numturns} turns[;] {jinxaction}.),
,Burn_all_dice,Burn_all_dice,Jinxes,Name of a special Lady Luck Jinx without an associated equipment name - shown as header,
,[fire]Burn all dice,[fire]Burn all dice,Jinxes,Displayed on the jinx card itself (as a complete sentence),
,[fire]burn all dice,[fire]burn all dice,Jinxes,Displayed on the jinx tool tip as {jinxaction} in the phrase (In {numturns} turns[;] {jinxaction}.),
,Blind_all_dice,Blind_all_dice,Jinxes,Name of a special Lady Luck Jinx without an associated equipment name - shown as header,
,[blind]Blind all dice,[blind]Blind all dice,Jinxes,Displayed on the jinx card itself (as a complete sentence),
,[blind]blind all dice,[blind]blind all dice,Jinxes,Displayed on the jinx tool tip as {jinxaction} in the phrase (In {numturns} turns[;] {jinxaction}.),
,Lock_two_dice,Lock_two_dice,Jinxes,Name of a special Lady Luck Jinx without an associated equipment name - shown as header,
,Lock [lock]2 dice,Lock [lock]2 dice,Jinxes,Displayed on the jinx card itself (as a complete sentence),
,lock [lock]2 dice,lock [lock]2 dice,Jinxes,Displayed on the jinx tool tip as {jinxaction} in the phrase (In {numturns} turns[;] {jinxaction}.),
,Halloween Sax,Halloween Sax,Final Credits,Credit headers as they will appear in the ending,
,Haunted,Haunted,Status Effect,A status effect that rerolls dice when you're not using them,
,RANGE,RANGE,Combat,Dice placed here must not be less than the first value and not more than the second value (e.g. range 2-4),
,range,range,Combat,Dice placed here must not be less than the first value and not more than the second value (e.g. range 2-4),
,Cost [heart]5,Cost [heart]5,Warrior Skillcard,Burning dice cost 5 health to extinguish when Buster rule change is active,
,Cannot copy,Cannot copy,Spellbook,,
,[90%]Halloween Special,[90%]Halloween Special,Title Screen,Displayed on the Title screen during Halloween week - the Name of the DLC,
,Design Feedback,Design Feedback,Credits,,
,The dicecord [heart],The dicecord [heart],Final Credits,Special thanks,
,Level up in [star][] {value},Level up in [star][] {value},Combat,Arabic only workaround,
,Deleted,Deleted,Combat,Shown when Jester's Delete ability is used,
,Success,Success,Combat,Shown when a luck-based item succeeds,
,After the battle[comma] keep[newline]one piece of equipment,After the battle[comma] keep[newline]one piece of equipment,Combat,Description change on Finders Keepers Skillcard,
,After the battle[comma] keep[newline]one piece of equipment[newline][gray](activated),After the battle[comma] keep[newline]one piece of equipment[newline][gray](activated),Combat,Description change on Finders Keepers Skillcard,
,Oh no! You're carrying too much equipment.,Oh no! You're carrying too much equipment.,Combat,,
,Choose an item to [yellow]throw away[]...,Choose an item to [yellow]throw away[]...,Combat,,
,Bonus Episodes,Bonus Episodes,Title Screen,,
,Press [x_button] to switch profile,Press [x_button] to switch profile,Title Screen,,
,Select a levelpack,Select a levelpack,Title Screen,,
,Ported by,Ported by,Credits,,
,Reunion,Reunion,DLC Name,Reunion is the name of the DLC,
,Gameplay,Gameplay,Options Menu,Button for Gameplay Options sub menu,
,Tap enabled,Tap enabled,Gameplay Options,Tap controls for mobile,
,Relaxed mode,Relaxed mode,Gameplay Options,,
,In relaxed mode[comma] all enemies have 25% less health.||Relaxed mode has no effect on progress or achievements[comma]|and can be turned on and off at will.,In relaxed mode[comma] all enemies have 25% less health.||Relaxed mode has no effect on progress or achievements[comma]|and can be turned on and off at will.,Gameplay Options,,
,Relaxed mode is enabled,Relaxed mode is enabled,Gameplay Options,,
,Relaxed mode is disabled,Relaxed mode is disabled,Gameplay Options,,
,(This setting cannot be changed during combat),(This setting cannot be changed during combat),Gameplay Options,,
,Tap on the chest to|walk over to it!,Tap on the chest to|walk over to it!,Tutorial,Tap controls for mobile,
,Tap the [yellow]End Turn[] button|when you're ready.,Tap the [yellow]End Turn[] button|when you're ready.,Tutorial,Tap controls for mobile,
,Tap on [Yellow]Fury[] to use it!,Tap on [Yellow]Fury[] to use it!,Tutorial,Tap controls for mobile,
,Progress Editor,Progress Editor,Progress Editor,,
,Edit Progress,Edit Progress,Progress Editor,This text is on a button,
,Welcome to the Dicey Dungeons Progress Editor!,Welcome to the Dicey Dungeons Progress Editor!,Progress Editor,,
,On this screen[comma] you can edit your save file[comma] and skip ahead to later,On this screen[comma] you can edit your save file[comma] and skip ahead to later,Progress Editor,line 1 of 2,
,episodes if you like. Proceed at your own peril!,episodes if you like. Proceed at your own peril!,Progress Editor,line 2 of 2,
,Unlock,Unlock,Progress Editor,This text is on a button,
,Reset Progress,Reset Progress,Progress Editor,This text is on a button,
,Are you sure?,Are you sure?,Progress Editor,This text is on a button,
,Really sure?,Really sure?,Progress Editor,This text is on a button,
,Seriously?,Seriously?,Progress Editor,This text is on a button,
,Last chance...,Last chance...,Progress Editor,This text is on a button,
,You can use this editor to freely unlock content whenever you like,You can use this editor to freely unlock content whenever you like,Progress Editor,,
,Equipment?,Equipment?,Reunion,,
,Cost [heart]{amount},Cost [heart]{amount},Reunion,,
